# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	245	154	261	182	0
11111	185	154	201	182	0

#WALKING RIGHT
11222	274	154	290	182	0
11223	303	154	321	182	0

#WALKING LEFT
11212	154	154	170	182	0
11213	123	154	141	182	0

#RUNNING RIGHT
11321	333	154	355	182	0
11322	333	154	355	182	0
11323	391	154	413	182	0

#RUNNING LEFT
11311	90	154	112	182	0
11312	64	154	86	182	0
11313	33	154	55	182	0

#JUMP WALK RIGHT
11417	392	274	412	302	0
11413	32	274	52	302	0

#JUMP RUN RIGHT & LEFT
11427	393	195	413	223	0
11423	34	195	52	223	0

#SIT RIGHT & LEFT 
11521	425	239	441	257	0
11511	4	239	20	257	0

#BRACE RIGHT & LEFT 
11611	424	154	442	182	0
11621	4	154	22	182	0
#KICK KOOPAS RIGHT & LEFT
11721	423	274	445	302	0
11711	2	274	24	302	0
#DIE
13001	214	120	234	138	0

############ SMALL ################
 #IDLE
12121	246	0	260	16	0
12111	186	0	200	16	0

#WALK RIGHT
12222	274	0	292	16	0
12223	305	0	321	16	0

#WALK LEFT
12212	154	0	170	16	0
12213	124	0	140	16	0

#RUN RIGHT
12321	274	0	290	16	0
12322	305	0	321	16	0
12323	335	0	351	16	0

#RUN LEFT
12311	154	0	170	16	0
12312	124	0	140	16	0
12313	94	0	110	16	0

#BRACE RIGHT & LEFT
12521	5	0	19	16	0
12511	425	0	439	16	0

#JUMP WALK RIGHT & LEFT 
12413	34	80	50	96	0
12417	394	80	410	96	0

#KICK KOOPAS RIGHT & LEFT 
12224	425	80	442	96	0
12225	5	80	23	96	0

#JUMP RUN RIGHT & LEFT 
12423	64	40	80	56	0
12427	364	40	380	56	0
#
#===============RACOON===========
#IDLE-RIGHT
14000	211	443	233	471	1
#IDLE-LEFT
14001	172	443	194	471	1
#WALK-RIGHT
14002	262	443	284	471	1
14003	290	443	314	471	1
#WALK-LEFT
14004	122	443	144	471	1
14005	91	443	115	471	1
#JUMP-RIGHT
14006	330	443	354	471	1
#JUMP-LEFT
14007	51	443	75	471	1
#FALL-RIGHT
14008	210	602	234	630	1
#FALL-LEFT
14009	171	602	195	630	1
#RUN-RIGHT
14010	211	523	235	551	1
14011	251	523	275	551	1
14012	291	523	315	551	1
#RUN-LEFT
14013	171	523	195	551	1
14014	131	523	155	551	1
14015	91	523	115	551	1
#FLY-RIGHT
14016	331	603	355	631	1
14017	371	603	395	631	1
14018	291	603	315	631	1
#FLY-LEFT
14019	51	603	75	631	1
14020	11	603	35	631	1
14021	91	603	115	631	1
#SIT-RIGHT
14022	372	448	394	466	1
#SIT-LEFT
14023	12	448	34	466	1
#BRACE-RIGHT&LEFT
14024	215	482	231	512	1
14025	175	482	191	512	1
#SLOWFALLING-RIGHT-LEFT
14026	252	603	274	631	1
14027	132	603	154	631	1
#RACOON-ATTACK-RIGHT-LEFT
14028	45	1407	75	1437	1
14029	355	483	371	511	1
14030	390	483	406	511	1
14031	253	1409	281	1439	1

14033	45	1407	73	1437	1
14032	253	1409	281	1439	1
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#KICK KOOPAS RIGHT LEFT
1701	11721	100
1700	11711	100
################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK KOOPAS RIGHT LEFT
1801	12224	100
1800	12225	100

#===============RACOON==============
#IDLE-RIGHT
1900	14000	100
#IDLE-LEFT
1901	14001	100
#WALKING-RIGHT
1902	14000	100	14002	100	14003	100
#WALKING-LEFT
1903	14001	100	14004	100	14005	100
#JUMP-WALK
#RIGHT
1904	14006	100
#LEFT
1905	14007	100
#FALLING
1906	14008	100
1907	14009	100
#RUN-RIGHT
1908	14010	20	14011	20	14012	20
#RUN-LEFT
1909	14013	20	14014	20	14015	20
#FLY-RIGHT
1910	14016	100	14017	100	14018	100
#FLY-LEFT
1911	14019	100	14020	100	14021	100
#SIT-RIGHT
1912	14022	100
#SIT-LEFT
1913	14023	100
#BRACE-RIGHT&LEFT
1914	14024	100
1915	14025	100
#SLOWFALLING-RIGHT&LEFT
1916	14008	50	14026	50
1917	14009	50	14027	50
#FALLING-WHILE-FLYING
1920	14016	100
1921	14019	100
#ATTACK-RIGHT&LEFT
1918	14028	50	14029	50	14031	50	14030	50	14028	50
1919	14032	50	14029	50	14033	50	14030	50	14032	50
